date,revenue,paid_search,paid_social,event_1,event_2,trend
2018-04-02,79693.24,5734.44,0.0,0.0,0.0,0.0
2018-04-09,75257.44,2022.99,0.0,0.0,0.0,1.0
2018-04-16,89339.35,5263.2,0.0,0.0,0.0,2.0
2018-04-23,77284.39,1285.17,0.0,0.0,0.0,3.0
2018-04-30,88832.51,6961.41,0.0,0.0,0.0,4.0
2018-05-07,73547.93,849.08,0.0,0.0,0.0,5.0
2018-05-14,101350.93,7636.48,0.0,0.0,0.0,6.0
2018-05-21,121581.98,6010.56,12316.95,0.0,0.0,7.0
2018-05-28,99084.11,4555.27,0.0,0.0,0.0,8.0
2018-06-04,117313.53,16884.98,0.0,0.0,0.0,9.0
2018-06-11,101932.66,7653.69,0.0,0.0,0.0,10.0
2018-06-18,99830.85,6536.57,0.0,0.0,0.0,11.0
2018-06-25,93771.7,7946.9,0.0,0.0,0.0,12.0
2018-07-02,130726.91,7616.01,13498.62,0.0,0.0,13.0
2018-07-09,100619.67,5911.06,0.0,0.0,0.0,14.0
2018-07-16,92773.82,16594.93,0.0,0.0,0.0,15.0
2018-07-23,84190.92,5544.28,0.0,0.0,0.0,16.0
2018-07-30,97520.17,16370.73,0.0,0.0,0.0,17.0
2018-08-06,78123.43,4512.58,0.0,0.0,0.0,18.0
2018-08-13,70997.24,4256.52,0.0,0.0,0.0,19.0
2018-08-20,80508.68,7256.48,0.0,0.0,0.0,20.0
2018-08-27,64466.13,2649.2,0.0,0.0,0.0,21.0
2018-09-03,81593.06,6534.74,0.0,0.0,0.0,22.0
2018-09-10,83128.71,2647.2,0.0,0.0,0.0,23.0
2018-09-17,73337.54,1704.07,0.0,0.0,0.0,24.0
2018-09-24,77070.98,4666.42,0.0,0.0,0.0,25.0
2018-10-01,70629.44,1034.71,0.0,0.0,0.0,26.0
2018-10-08,70777.65,371.64,0.0,0.0,0.0,27.0
2018-10-15,85223.49,2981.45,0.0,0.0,0.0,28.0
2018-10-22,92090.34,3852.13,0.0,0.0,0.0,29.0
2018-10-29,129699.52,6489.32,11208.72,0.0,0.0,30.0
2018-11-05,101817.45,2202.63,0.0,0.0,0.0,31.0
2018-11-12,130008.81,17256.31,0.0,0.0,0.0,32.0
2018-11-19,128694.04,5795.5,0.0,0.0,0.0,33.0
2018-11-26,145761.91,4558.21,11949.38,0.0,0.0,34.0
2018-12-03,104981.91,1152.22,0.0,0.0,0.0,35.0
2018-12-10,85694.74,425.8,0.0,0.0,0.0,36.0
2018-12-17,118489.94,3296.96,13840.36,0.0,0.0,37.0
2018-12-24,155417.98,16655.44,12186.65,0.0,0.0,38.0
2018-12-31,132015.59,17939.85,0.0,0.0,0.0,39.0
2019-01-07,120078.46,7230.41,0.0,0.0,0.0,40.0
2019-01-14,113213.07,3127.42,0.0,0.0,0.0,41.0
2019-01-21,117454.84,17196.71,0.0,0.0,0.0,42.0
2019-01-28,121874.04,6406.01,0.0,0.0,0.0,43.0
2019-02-04,79884.32,16.73,0.0,0.0,0.0,44.0
2019-02-11,96348.39,7880.68,0.0,0.0,0.0,45.0
2019-02-18,155901.96,17531.57,13648.13,0.0,0.0,46.0
2019-02-25,128944.43,17602.27,0.0,0.0,0.0,47.0
2019-03-04,110813.58,4466.55,0.0,0.0,0.0,48.0
2019-03-11,98996.65,7301.17,0.0,0.0,0.0,49.0
2019-03-18,127597.97,4482.74,12636.02,0.0,0.0,50.0
2019-03-25,95280.34,954.94,0.0,0.0,0.0,51.0
2019-04-01,84157.03,1193.79,0.0,0.0,0.0,52.0
2019-04-08,88256.41,1654.77,0.0,0.0,0.0,53.0
2019-04-15,86939.9,5123.75,0.0,0.0,0.0,54.0
2019-04-22,132533.97,6729.22,13921.24,0.0,0.0,55.0
2019-04-29,104624.96,5598.61,0.0,0.0,0.0,56.0
2019-05-06,77825.64,194.76,0.0,0.0,0.0,57.0
2019-05-13,136316.4,5865.38,0.0,1.0,0.0,58.0
2019-05-20,100952.19,7742.89,0.0,0.0,0.0,59.0
2019-05-27,105846.31,7959.42,0.0,0.0,0.0,60.0
2019-06-03,104774.65,4840.54,0.0,0.0,0.0,61.0
2019-06-10,99884.2,6919.32,0.0,0.0,0.0,62.0
2019-06-17,91278.86,5468.05,0.0,0.0,0.0,63.0
2019-06-24,90025.3,3997.66,0.0,0.0,0.0,64.0
2019-07-01,112692.77,17713.57,0.0,0.0,0.0,65.0
